src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
10.0.2.15,157.240.16.35,42500,443,6,2024-02-20 11:45:31,7218445,59984.6642871145,43.0840714308968,20.5030307774043,22.5810406534925,148,163,9582,423414,718,54,64.7432432432432,73.2614829687379,7095,60,2597.63190184049,1517.50150627898,7095,54,1392.27009646302,1676.19920819955,2809643.7855688,2960,3260,20,7,23285.3064516129,3347855,0,216552.419191855,7218445,3347940,22,49105.0680272109,312529.406022404,7181291,3347901,0,44328.9567901235,298055.313980214,0,0,0,0,1,0,0,0,0,0,0,1.10135135135135,1392.27009646302,42340,65535,3347838,5529,209536.363636364,633619.026451098,3347809,5530,198574.742857143,616878.973316176,0,0,82254.6,31.6,0,215224.312681328,64.7432432432432,2597.63190184049,0,148,163,9582,423414,Normal
10.0.2.15,192.168.101.1,59088,53,17,2024-02-20 11:45:31,1256151,156.032196766153,1.59216527312401,0.796082636562006,0.796082636562006,1,1,90,106,90,90,90,0,106,106,106,0,106,90,98,8,64,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,106,0,1,1,90,106,Normal
10.0.2.15,192.168.101.1,39334,53,17,2024-02-20 11:45:31,1256406,141.6739493444,1.59184212746517,0.795921063732583,0.795921063732583,1,1,81,97,81,81,81,0,97,97,97,0,97,81,89,8,64,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,97,0,1,1,81,97,Normal
10.0.2.15,192.168.101.1,34456,53,17,2024-02-20 11:45:31,1411841,139.53412600994,1.41659011177604,0.708295055888021,0.708295055888021,1,1,79,118,79,79,79,0,118,118,118,0,118,79,98.5,19.5,380.25,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,118,0,1,1,79,118,Normal
10.0.2.15,192.168.101.1,46628,53,17,2024-02-20 11:45:31,1307731,145.289818777715,1.52936651344963,0.764683256724816,0.764683256724816,1,1,81,109,81,81,81,0,109,109,109,0,109,81,95,14,196,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,109,0,1,1,81,109,Normal
10.0.2.15,192.168.101.1,35531,53,17,2024-02-20 11:45:31,1412090,147.299393098174,1.41634031825167,0.708170159125835,0.708170159125835,1,1,90,118,90,90,90,0,118,118,118,0,118,90,104,14,196,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,118,0,1,1,90,118,Normal
10.0.2.15,192.168.101.1,37415,53,17,2024-02-20 11:45:31,1266656,165.001389485385,1.57896066493192,0.789480332465958,0.789480332465958,1,1,79,130,79,79,79,0,130,130,130,0,130,79,104.5,25.5,650.25,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,104.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,130,0,1,1,79,130,Normal
10.0.2.15,192.168.101.1,58038,53,17,2024-02-20 11:45:31,1412342,140.192672879515,1.41608760484359,0.708043802421793,0.708043802421793,1,1,91,107,91,91,91,0,107,107,107,0,107,91,99,8,64,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,107,0,1,1,91,107,Normal
10.0.2.15,192.168.101.1,46396,53,17,2024-02-20 11:45:31,1412459,148.676881948432,1.41597030427078,0.70798515213539,0.70798515213539,1,1,91,119,91,91,91,0,119,119,119,0,119,91,105,14,196,8,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,119,0,1,1,91,119,Normal
10.0.2.15,157.240.16.20,41006,443,6,2024-02-20 11:45:33,167794,35007.2112232857,137.072839314874,65.5565753245051,71.5162639903691,11,12,1556,4318,721,54,141.454545454545,190.882812044155,2974,60,359.833333333333,797.464401852661,2974,54,255.391304347826,600.937220126264,361125.542533081,220,240,20,4,7626.09090909091,44087,-20,15756.7855135179,167747,44291,17,16774.7,20141.2821590384,123707,43982,0,11246.0909090909,17624.084148762,0,0,0,0,1,0,0,0,0,0,0,1.09090909090909,255.391304347826,42340,0,43970,33675,40481,4813.08099523233,44087,34216,40635.5,3952.18765369257,0,0,72,5,0,152866.242038217,141.454545454545,359.833333333333,0,11,12,1556,4318,Normal
10.0.2.15,157.240.16.20,41014,443,6,2024-02-20 11:45:33,166192,35639.5012997016,144.411283334938,72.205641667469,72.205641667469,12,12,1610,4313,721,54,134.166666666667,184.347874652487,2974,60,359.416666666667,796.279102904391,2974,54,246.791666666667,588.818023612182,346706.664930556,240,240,20,4,7225.73913043478,41938,6,14989.1807886407,165971,42000,91,15088.2727272727,18861.216730688,124254,40165,84,11295.8181818182,17127.0573167307,0,0,0,0,1,0,0,0,0,0,0,1,246.791666666667,42340,65535,41654,38995,40265.6666666667,1088.71616543932,41938,37855,39722.75,1472.80758672,0,0,313,5,0,7898.25632743698,134.166666666667,359.416666666667,0,12,12,1610,4313,Normal
