src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
10.0.0.1,10.0.0.2,1740,0,6,2024-02-16 07:23:33,1617050,267.15314925327,4.94728054172722,2.47364027086361,2.47364027086361,4,4,216,216,54,54,54,0,54,54,54,0,54,54,54,0,0,80,80,20,0,215758.857142857,1564306,-49066,551411.664587857,48403,48210,-44532,16134.3333333333,42921.1626615848,1564306,1568605,-49032,521435.333333333,741449.572075464,0,0,0,0,1,0,0,0,0,0,0,1,54,512,0,97242,42,48642,48600,1568605,44691,553835.333333333,717551.950793034,0,0,0,0,0,0,54,54,0,4,4,216,216,Probe
10.0.0.1,10.0.0.2,1740,1,6,2024-02-16 07:23:33,1617069,267.150010296407,4.94722241289642,2.47361120644821,2.47361120644821,4,4,216,216,54,54,54,0,54,54,54,0,54,54,54,0,0,80,80,20,0,215810.428571429,1564346,-48951,551404.632375188,48467,48184,-44412,16155.6666666667,42851.4874446876,1564346,1568592,-48943,521448.666666667,741428.343495775,0,0,0,0,1,0,0,0,0,0,0,1,54,512,0,97127,10,48568.5,48558.5,1568592,44687,553821,717552.875674446,0,0,0,0,0,0,54,54,0,4,4,216,216,Probe
10.0.0.1,10.0.0.2,1740,2,6,2024-02-16 07:23:33,7897277,157.269398046947,2.91239626012865,1.39288516788761,1.51951109224103,11,12,594,648,54,54,54,0,54,54,54,0,54,54,54,0,0,220,240,20,0,346704.954545455,1788602,-85252,642851.079892216,292215,65137,-85252,29221.5,44540.9561892198,7884400,1788602,12880,716763.636363636,742501.237834814,0,0,0,0,1,0,0,0,0,0,0,1.09090909090909,54,512,0,441797,4,109903.142857143,141920.098702885,1299074,12927,244209.3,379928.568249888,0,0,0,0,0,0,54,54,0,11,12,594,648,Probe
10.0.0.1,10.0.0.2,1740,3,6,2024-02-16 07:23:33,7897291,157.269119246081,2.91239109714964,1.39288269863679,1.51950839851286,11,12,594,648,54,54,54,0,54,54,54,0,54,54,54,0,0,220,240,20,0,346708.227272727,1788623,-85224,642295.497921176,292396,65142,-85224,29239.6,44543.2052129166,7884370,1788623,12768,716760.909090909,741543.92840153,0,0,0,0,1,0,0,0,0,0,0,1.09090909090909,54,512,0,415812,1,106213.142857143,133260.075066367,1299164,12788,239024.5,379153.945321224,0,0,0,0,0,0,54,54,0,11,12,594,648,Probe
10.0.0.1,10.0.0.2,1740,4,6,2024-02-16 07:23:33,7897306,157.268820531964,2.91238556540673,1.39288005302061,1.51950551238612,11,12,594,648,54,54,54,0,54,54,54,0,54,54,54,0,0,220,240,20,0,346710.818181818,1788339,-85206,642283.710597062,292442,65158,-85206,29244.2,44541.1940585342,7884360,1788339,12740,716760,741527.002422458,0,0,0,0,1,0,0,0,0,0,0,1.09090909090909,54,512,0,415483,2,106167.857142857,133148.958300124,1299498,12754,238988.5,379210.937939097,0,0,0,0,0,0,54,54,0,11,12,594,648,Probe
10.0.0.1,10.0.0.2,1740,5,6,2024-02-16 07:23:33,7897320,157.268541733145,2.91238040246565,1.39287758378792,1.51950281867773,11,12,594,648,54,54,54,0,54,54,54,0,54,54,54,0,0,220,240,20,0,346712.727272727,1788091,-85176,642273.747199756,292471,65175,-85176,29247.1,44535.2537310612,7884338,1788091,12695,716758,741514.128677508,0,0,0,0,1,0,0,0,0,0,0,1.09090909090909,54,512,0,415215,2,106132,133056.986721587,1299813,12736,238961.5,379268.104233206,0,0,0,0,0,0,54,54,0,11,12,594,648,Probe
10.0.0.1,10.0.0.2,1740,6,6,2024-02-16 07:23:33,7897304,157.268860360447,2.91238630297124,1.39288040576885,1.51950589720239,11,12,594,648,54,54,54,0,54,54,54,0,54,54,54,0,0,220,240,20,0,346715.5,1787466,-85153,642231.554143034,292507,65190,-85153,29250.7,44532.8147348672,7884324,1787466,12871,716756.727272727,741445.178361837,0,0,0,0,1,0,0,0,0,0,0,1.09090909090909,54,512,0,414569,2,106037.142857143,132839.458109004,1300123,12885,238893,379276.404917311,0,0,0,0,0,0,54,54,0,11,12,594,648,Probe
10.0.0.1,10.0.0.2,1740,7,6,2024-02-16 07:23:33,7897367,157.267605772911,2.91236306986873,1.39286929428504,1.51949377558369,11,12,594,648,54,54,54,0,54,54,54,0,54,54,54,0,0,220,240,20,0,346714.227272727,1787479,-85167,642223.848875986,292575,65141,-85167,29257.5,44541.7710116021,7884362,1787479,12958,716760.181818182,741426.643990896,0,0,0,0,1,0,0,0,0,0,0,1.09090909090909,54,512,0,414517,1,106035.142857143,132821.219221746,1299889,12980,238890.6,379213.035952405,0,0,0,0,0,0,54,54,0,11,12,594,648,Probe
10.0.0.1,10.0.0.2,1740,8,6,2024-02-16 07:23:33,7897390,157.267147753878,2.91235458803478,1.39286523775576,1.51948935027902,11,12,594,648,54,54,54,0,54,54,54,0,54,54,54,0,0,220,240,20,0,346719.272727273,1787587,-85123,641717.620503909,292611,65148,-85123,29261.1,44532.2953337238,7884327,1787587,18465,716757,740557.815268636,0,0,0,0,1,0,0,0,0,0,0,1.09090909090909,54,512,0,414599,3,106044,132845.782295541,1288864,18480,238895,376163.060447461,0,0,0,0,0,0,54,54,0,11,12,594,648,Probe
10.0.0.1,10.0.0.2,1740,9,6,2024-02-16 07:23:33,7897122,157.272484836881,2.91245342290521,1.39291250660684,1.51954091629837,11,12,594,648,54,54,54,0,54,54,54,0,54,54,54,0,0,220,240,20,0,346710.681818182,1787071,-85081,641692.92780053,292356,65210,-85081,29235.6,44511.2464556993,7884292,1787071,18560,716753.818181818,740512.359632759,0,0,0,0,1,0,0,0,0,0,0,1.09090909090909,54,512,0,414062,2,105924.285714286,132657.374149363,1289200,18574,238809.1,376205.77235004,0,0,0,0,0,0,54,54,0,11,12,594,648,Probe
