dst_port,tot_fwd_pkts,flow_byts_s,fwd_header_len,fwd_pkts_s,pkt_len_max,pkt_len_mean,pkt_size_avg,subflow_fwd_pkts,init_bwd_win_byts
443,43,4518800.39183182,860,324.014769045287,64294,6379.68085106383,6379.68085106383,43,65535
2396,1,2185.9629947693,20,19.5175267390116,58,56.0,56.0,1,0
2330,1,93.7538976927333,20,0.837088372256547,58,56.0,56.0,1,0
80,9,88.9561856466174,180,1.23550257842524,54,54.0,54.0,9,0
80,14,163.943837367713,280,1.9319980834579,54,54.0,54.0,14,0
443,22,84.0077934459914,440,0.187669725407373,2926,223.818181818182,223.818181818182,22,65535
53,1,28968.7137891078,8,72.4217844727694,320,200.0,200.0,1,0
80,12,118.774821222586,240,1.64965029475814,54,54.0,54.0,12,0
53,1,63675.8321273517,8,144.717800289436,365,220.0,220.0,1,0
443,23,1140.11624345243,460,1.58139389696091,3180,352.808510638298,352.808510638298,23,65535
443,2,1286.13675647779,40,8.19195386291584,100,78.5,78.5,2,65535
443,19,154907.236227111,380,13.1954157736611,40934,5869.73684210526,5869.73684210526,19,65535
443,15,1123.42526347537,300,0.596361218534541,7354,743.605263157895,743.605263157895,15,65535
137,1,88.9464923315417,20,0.794165110103051,58,56.0,56.0,1,0
443,10,8064.59289772358,200,8.65392520412446,2870,465.95,465.95,10,65535
53,1,38996.324116989,8,159.821000479463,151,122.0,122.0,1,0
443,49,290966.631438252,980,95.1944297659383,8526,1497.71,1497.71,49,65535
4908,1,82.9105757621296,20,0.740272997876157,58,56.0,56.0,1,0
53,1,22265.9486329743,8,103.562551781276,130,107.5,107.5,1,0
80,16,58.007947776347,320,0.687501603275223,54,54.0,54.0,16,0
3051,1,4018.08136614766,20,35.8757264834613,58,56.0,56.0,1,0
80,13,170.3697639101,260,2.05074715817713,54,54.0,54.0,13,0
53,1,59683.8877093654,8,235.904694503421,169,126.5,126.5,1,0
1714,1,6117.5442429539,20,54.6209307406598,58,56.0,56.0,1,0
80,16,144.050481691028,320,1.77840100853121,54,54.0,54.0,16,0
443,38,42782.8449382863,304,15.6801383813476,1399,917.53982300885,917.53982300885,38,0
87,1,82.5970275394714,20,0.737473460173852,58,56.0,56.0,1,0
80,13,141.191896300745,260,1.78898114221217,54,54.0,54.0,13,0
3428,1,102.338526708985,20,0.913736845615936,58,56.0,56.0,1,0
443,2,3529.82703847512,40,23.5321802565008,93,75.0,75.0,2,65535
3055,1,212.424963726541,20,1.89665146184411,58,56.0,56.0,1,0
2975,1,2833.64958886781,20,25.3004427577483,58,56.0,56.0,1,0
80,13,133.620737058584,260,1.78710862321152,54,54.0,54.0,13,0
4778,1,90.0103029650358,20,0.803663419330677,58,56.0,56.0,1,0
80,12,141.307891302003,240,1.65272387487723,54,54.0,54.0,12,0
80,18,162.307326123613,360,1.8656014496967,54,54.0,54.0,18,0
443,2,7027.57150554007,40,46.8504767036005,93,75.0,75.0,2,65535
784,1,84.9395374587152,20,0.758388727309957,58,56.0,56.0,1,0
80,11,127.113397548092,220,1.72623132472718,54,54.0,54.0,11,0
3032,1,84.7136489572279,20,0.756371865689535,58,56.0,56.0,1,0
443,2,6560.96227446692,40,43.7397484964462,93,75.0,75.0,2,65535
80,15,146.111640854635,300,1.84484395018479,54,54.0,54.0,15,0
3209,1,2733.10720124942,20,24.4027428682984,58,56.0,56.0,1,0
3708,1,154.588091748032,20,1.38025081917886,58,56.0,56.0,1,0
80,13,141.372962958217,260,1.79127535911971,54,54.0,54.0,13,0
80,12,141.311920032328,240,1.65277099453015,54,54.0,54.0,12,0
80,18,165.21347036275,360,1.89900540646839,54,54.0,54.0,18,0
443,9,9060.18754447312,180,10.5678703862439,2974,428.666666666667,428.666666666667,9,65535
80,13,141.660015135254,260,1.79491247247398,54,54.0,54.0,13,0
80,16,134.611048852732,320,1.47721315613423,54,54.0,54.0,16,0
2033,1,106.309466858024,20,0.949191668375212,58,56.0,56.0,1,0
53,1,43891.7337234821,8,146.305779078274,223,150.0,150.0,1,0
80,1,130884.041331803,20,1148.10562571757,60,57.0,57.0,1,65535
1551,1,3325.21821744552,20,29.6894483700493,58,56.0,56.0,1,0
80,11,127.136242022201,220,1.72654155832618,54,54.0,54.0,11,0
2309,1,1874.06924016532,20,16.7327610729046,58,56.0,56.0,1,0
80,13,141.371365629479,260,1.79125512006163,54,54.0,54.0,13,0
3906,1,101.111960732448,20,0.90278536368257,58,56.0,56.0,1,0
80,20,252.484890588035,400,2.46086638000034,54,54.0,54.0,20,0
80,13,133.605492670254,260,1.78690473735937,54,54.0,54.0,13,0
